battery_id,cycle_index,discharge_index,ambient_temperature,capacity_ah,num_samples
B0005,1,1,24,1.8564874208181574,197
B0005,3,2,24,1.846327249719927,196
B0005,5,3,24,1.8353491942234077,195
B0005,7,4,24,1.8352625275821128,194
B0005,9,5,24,1.8346455082120419,194
B0005,11,6,24,1.8356616600675495,195
B0005,13,7,24,1.8351461429226603,195
B0005,15,8,24,1.8257567905665537,191
B0005,17,9,24,1.8247738529891333,190
B0005,19,10,24,1.824613268496936,190
B0005,21,11,24,1.8246195526864504,189
B0005,24,12,24,1.8142019357673917,187
B0005,26,13,24,1.8137521577549054,186
B0005,28,14,24,1.8134404914735822,186
B0005,30,15,24,1.8025980036306504,185
B0005,32,16,24,1.80210690024615,184
B0005,34,17,24,1.802579500826209,183
B0005,36,18,24,1.8030683142834096,182
B0005,38,19,24,1.8027776247196041,182
B0005,41,20,24,1.8470259949329193,192
B0005,45,21,24,1.847417311283644,190
B0005,49,22,24,1.8361774213478947,189
B0005,53,23,24,1.8257807475776242,187
B0005,57,24,24,1.8251136435078368,188
B0005,61,25,24,1.8255815042203762,184
B0005,65,26,24,1.8140311275083907,184
B0005,69,27,24,1.8147691941158939,183
B0005,73,28,24,1.813969388710352,183
B0005,77,29,24,1.802765665167823,183
B0005,81,30,24,1.804077040117352,182
B0005,85,31,24,1.8518025516704486,371
B0005,89,32,24,1.8307038456739428,365
B0005,93,33,24,1.8199041089501267,363
B0005,97,34,24,1.8093079637028517,362
B0005,101,35,24,1.80460990458052,360
B0005,105,36,24,1.7993770651972192,360
B0005,109,37,24,1.7884432335370462,359
B0005,113,38,24,1.7829230484252723,357
B0005,117,39,24,1.7730337158018288,356
B0005,121,40,24,1.773037755078937,355
B0005,125,41,24,1.7678721106662054,355
B0005,129,42,24,1.7623150704093087,354
B0005,133,43,24,1.7676172924938447,179
B0005,135,44,24,1.762668359743147,354
B0005,139,45,24,1.7517304870664143,352
B0005,143,46,24,1.7418496047960008,350
B0005,147,47,24,1.7360913511847138,349
B0005,149,48,24,1.7936240148573608,356
B0005,153,49,24,1.7831890223273275,356
B0005,157,50,24,1.7673642076278957,353
B0005,161,51,24,1.7570177850353066,351
B0005,165,52,24,1.7468706179837907,350
B0005,169,53,24,1.7417172507457144,349
B0005,173,54,24,1.7364225056478186,349
B0005,177,55,24,1.7263217239235826,348
B0005,181,56,24,1.7158065389330133,347
B0005,185,57,24,1.710533351135192,346
B0005,189,58,24,1.706014499648521,346
B0005,193,59,24,1.7003110272642588,345
B0005,197,60,24,1.6945798601797895,345
B0005,201,61,24,1.6849029086609286,343
B0005,205,62,24,1.6744741591159717,343
B0005,209,63,24,1.6745692479879102,342
B0005,213,64,24,1.663716375981405,341
B0005,215,65,24,1.659013868748246,341
B0005,219,66,24,1.6538540573335014,340
B0005,223,67,24,1.642653782130131,339
B0005,227,68,24,1.6378578430223698,338
B0005,231,69,24,1.6327350407099108,338
B0005,235,70,24,1.6277528915533617,337
B0005,239,71,24,1.622125485521159,336
B0005,243,72,24,1.6113256603765849,336
B0005,247,73,24,1.6065631397488385,335
B0005,251,74,24,1.6015142233917594,334
B0005,255,75,24,1.590369231400328,333
B0005,259,76,24,1.5857889968242211,333
B0005,263,77,24,1.5849430707374117,333
B0005,265,78,24,1.5955263892495937,333
B0005,269,79,24,1.5747301747801037,331
B0005,273,80,24,1.5649019950937946,330
B0005,277,81,24,1.5597659473370362,330
B0005,281,82,24,1.5594815668184234,330
B0005,285,83,24,1.55468935359061,329
B0005,289,84,24,1.5488741079890418,329
B0005,293,85,24,1.538236598942558,327
B0005,297,86,24,1.527914258251028,326
B0005,301,87,24,1.5285252629756445,326
B0005,305,88,24,1.522647325284378,326
B0005,309,89,24,1.5174859938489869,325
B0005,312,90,24,1.605818899130659,339
B0005,315,91,24,1.5638491446744425,329
B0005,319,92,24,1.5480915247767786,328
B0005,323,93,24,1.5323755631868592,327
B0005,327,94,24,1.5269528268489705,326
B0005,331,95,24,1.5169573017136326,325
B0005,335,96,24,1.5118975960142693,324
B0005,339,97,24,1.5065638960681105,324
B0005,343,98,24,1.5015453526671363,323
B0005,347,99,24,1.4908444050400238,322
B0005,351,100,24,1.485868384561201,322
B0005,355,101,24,1.480413677976106,321
B0005,359,102,24,1.4752095869031632,320
B0005,363,103,24,1.4859035988304024,321
B0005,366,104,24,1.4960918298136696,322
B0005,370,105,24,1.4808005946928984,320
B0005,374,106,24,1.4697543268466824,319
B0005,378,107,24,1.4539012274845928,316
B0005,382,108,24,1.4541462067235693,318
B0005,386,109,24,1.455023751906683,317
B0005,390,110,24,1.449042163761236,317
B0005,394,111,24,1.4386709371480566,316
B0005,398,112,24,1.433445432156979,315
B0005,402,113,24,1.4333958900838095,315
B0005,406,114,24,1.42806487344776,315
B0005,410,115,24,1.4229203181741186,314
B0005,414,116,24,1.417429032731308,313
B0005,418,117,24,1.412409228794446,312
B0005,422,118,24,1.412578792940193,312
B0005,426,119,24,1.4075983731469897,312
B0005,430,120,24,1.4333920485221476,314
B0005,432,121,24,1.4382550176792908,315
B0005,436,122,24,1.4173547174485526,313
B0005,440,123,24,1.406981663677643,312
B0005,444,124,24,1.4012037783587625,311
B0005,448,125,24,1.3967008232726328,311
B0005,452,126,24,1.391284788852726,309
B0005,456,127,24,1.3862287677978349,309
B0005,460,128,24,1.3804366761974138,309
B0005,464,129,24,1.3752364150256224,308
B0005,468,130,24,1.3705128024895008,307
B0005,472,131,24,1.3705085566270399,307
B0005,476,132,24,1.3647355108681518,307
B0005,480,133,24,1.375392016895762,308
B0005,482,134,24,1.3861115151535393,309
B0005,484,135,24,1.3698500035838939,308
B0005,488,136,24,1.3647827949260758,307
B0005,492,137,24,1.3543220466259964,306
B0005,496,138,24,1.3546417018378962,306
B0005,500,139,24,1.3547039213192407,306
B0005,504,140,24,1.349314997503458,305
B0005,508,141,24,1.3441891937970554,304
B0005,512,142,24,1.3389913790695755,304
B0005,516,143,24,1.3389145230206971,304
B0005,520,144,24,1.3340066759761655,303
B0005,524,145,24,1.3286444309174914,303
B0005,528,146,24,1.3231708992276219,302
B0005,532,147,24,1.3181691588445197,302
B0005,536,148,24,1.3184664436640334,302
B0005,540,149,24,1.318293040102702,301
B0005,544,150,24,1.323872422244268,302
B0005,547,151,24,1.3601216766554785,305
B0005,551,152,24,1.3395306867947354,303
B0005,555,153,24,1.3290286565120697,302
B0005,559,154,24,1.3236741274998955,302
B0005,563,155,24,1.318633896753293,301
B0005,567,156,24,1.3134751321324272,301
B0005,571,157,24,1.3132020634442203,300
B0005,575,158,24,1.3077959946944353,300
B0005,579,159,24,1.3030329186405918,299
B0005,583,160,24,1.3033573559038205,299
B0005,587,161,24,1.3034100438655642,298
B0005,591,162,24,1.2978870806495706,298
B0005,595,163,24,1.2980735056918902,298
B0005,599,164,24,1.293463613844243,297
B0005,603,165,24,1.288003392619118,297
B0005,607,166,24,1.2874525221379407,297
B0005,611,167,24,1.3090153642307354,298
B0005,613,168,24,1.3250793286429356,300
B0006,1,1,24,2.035337591005598,197
B0006,3,2,24,2.0251402460314116,196
B0006,5,3,24,2.013326371345464,195
B0006,7,4,24,2.0132846655407413,194
B0006,9,5,24,2.000528337624771,194
B0006,11,6,24,2.0138990759931645,195
B0006,13,7,24,2.013101105626967,195
B0006,15,8,24,1.9687898262728398,191
B0006,17,9,24,1.9681661764334244,190
B0006,19,10,24,1.9572307917560536,190
B0006,21,11,24,1.9455991514129352,189
B0006,24,12,24,1.9347505044841131,187
B0006,26,13,24,1.9232799539368028,186
B0006,28,14,24,1.911889930948487,186
B0006,30,15,24,1.9010667141979305,185
B0006,32,16,24,1.8891989948061458,184
B0006,34,17,24,1.878278372248849,183
B0006,36,18,24,1.8675697161520206,182
B0006,38,19,24,1.8675892574453767,182
B0006,41,20,24,1.979626548250818,192
B0006,45,21,24,1.9575499080884022,190
B0006,49,22,24,1.9458150170787551,189
B0006,53,23,24,1.9242461121680094,187
